Country,State,City,Zip code,Line cost,Item cost
AU,QLD,SVENSSON HEIGHTS,4670,5,21
AU,QLD,THABEBAN,4670,0,21
AU,QLD,WALKERVALE,4670,0,21
AU,QLD,WATALGAN,4670,0,21
AU,QLD,WELCOME CREEK,4670,0,21
AU,QLD,WINFIELD,4670,0,21
AU,QLD,WOONGARRA,4670,0,21
AU,QLD,BOOLBOONDA,4671,0,21
AU,QLD,BOOYAL,4671,0,21
AU,QLD,BULLYARD,4671,0,21
AU,QLD,BUNGADOO,4671,0,21
AU,QLD,DALYSFORD,4671,0,21
AU,QLD,DAMASCUS,4671,0,21
AU,QLD,DELAN,4671,0,21
AU,QLD,DOUGHBOY,4671,0,21
AU,QLD,DRINAN,4671,0,21
AU,QLD,DUINGAL,4671,0,21
AU,QLD,GAETA,4671,0,21
AU,QLD,GIN GIN,4671,0,21
AU,QLD,GOOD NIGHT,4671,0,21
AU,QLD,HORSE CAMP,4671,0,21
AU,QLD,KOLONGA,4671,0,21
AU,QLD,LAKE MONDURAN,4671,0,21
AU,QLD,MAROONDAN,4671,0,21
AU,QLD,MCILWRAITH,4671,0,21
AU,QLD,MOLANGUL,4671,0,21
AU,QLD,MONDURAN,4671,0,21
AU,QLD,MOOLBOOLAMAN,4671,0,21
AU,QLD,MORGANVILLE,4671,0,21
AU,QLD,MOUNT PERRY,4671,0,21
AU,QLD,MUNGY,4671,0,21
AU,QLD,NEARUM,4671,0,21
AU,QLD,NEW MOONTA,4671,0,21
AU,QLD,REDHILL FARMS,4671,0,21
AU,QLD,SKYRING RESERVE,4671,0,21
AU,QLD,ST AGNES,4671,0,21
AU,QLD,ST KILDA,4671,0,21
AU,QLD,TAKILBERAN,4671,0,21
AU,QLD,TIRROAN,4671,0,21
AU,QLD,WALLAVILLE,4671,0,21
AU,QLD,WONBAH,4671,0,21
AU,QLD,WONBAH FOREST,4671,0,21
AU,QLD,MIARA,4673,0,21
AU,QLD,WATERLOO,4673,0,21
AU,QLD,YANDARAN,4673,0,21
AU,QLD,BAFFLE CREEK,4674,0,21
AU,QLD,BERAJONDO,4674,0,21
AU,QLD,DEEPWATER,4674,0,21
AU,QLD,EULEILAH,4674,1,21
